title,release_date,album,lyrics
Tumbado,2020-06-26,,"6 ContributorsTumbado Lyrics[Letra de ""Tumbado"" ft. Robot]

[Intro: Robot]
Robot
Aives on the beats
Esto e' todo' los días
El Nata, ajá (¿Qué?)
¡Prra!

[Coro: Natanael Cano & Robot]
Siempre ando dopado
Desde que salimo' tenemo' la calle repleta 'e tumbado
Desde que salimo' la gente notó que yo ando bien clavado
Como en Modern Warfare, matando soldado' y me voy de la'o, eh
Tomando morado, eh (Ah)
Siempre ando dopado
Desde que salimo' tenemo' la ranfla y los ojo' tumbado' (Los ojo' tumbado')
Tenemos el bille' y también la feria y ella 'tá bien clavada (Ey)
Siempre tumbado, siempre tumbado, siempre tumbado (Wah, wah)
Siempre dopado, siempre dopado, wah

[Verso 1: Natanael Cano]
Nos fuimos todos pa' L.A.​
Cambiamos domicilio cada mes
Fumamos mota y jarabe
Morras con más de cien mil followers
Así me mantengo, fiestas tumbadas con puras modelos
Los peines de huevo
Donde pongo el dedo queda el agujero
Tu madre me quiere pa' yerno
Yo ya lo sé, eh, lo que sé
Es que tu vida vale verga, cabrón, yo soy rey, eh (Ah)
You might also like[Coro: Natanael Cano & Robot]
Siempre ando dopado
Desde que salimo' tenemo' la calle repleta 'e tumbado
Desde que salimo' la gente notó que ya ando bien clavado
Como en Modern Warfare, matando soldado' y me voy de la'o, eh
Tomando morado, eh (Ah)
Siempre ando dopado
Desde que salimo' tenemo' la ranfla y los ojo' tumbado' (Los ojo' tumbado')
Tenemos el bille' y también la feria y ella está bien clavada (Ey)
Siempre tumbado, siempre tumbado, siempre tumbado (Wah, wah)
Siempre dopado, siempre dopado, wah

[Verso 2: Robot]
La poli me mira (Wah), ese booty me excita
Ando dopado (Wah) de noche y de día (Prra)
Ando dopado de noche y de día (Okey)
Tengo mi' swooshe' de Santa María
Voy pa' los sueños en esta movida (Wuh)
En cualquier droga despué' fue mentira, eh
Adicto, eyes on me, ey
Adicto, hay un rati, ey (Okey)
La babie' follan por mí, eh (Okey)
Pa'l dinero y para mí (Rra)

[Coro: Natanael Cano & Robot]
Siempre ando dopado
Desde que salimo' tenemo' la calle repleta 'e tumbado
Desde que salimo' la gente notó que yo ando bien clavado
Como en Modern Warfare, matando soldado' y me voy de la'o, eh
Tomando morado, eh (Ah)
Siempre ando dopado
Desde que salimo' tenemo' la ranfla y los ojo' tumbado' (Los ojo' tumbado')
Tenemos el bille' y también la feria y ella está bien clavada (Ey)
Siempre tumbado, siempre tumbado, siempre tumbado (Wah, wah)
Siempre dopado, siempre dopado, wah
Siempre ando dopado
Desde que salimo' tenemo' la calle repleta 'e tumbado
Desde que salimo' la gente notó que yo ando bien clavado
Como en Modern Warfare, matando soldado' y me voy de la'o, eh
Tomando morado, eh (Ah)Embed"
Sour Diesel,2018-09-4,,"2 ContributorsSour Diesel Lyrics[Letra de ""Sour Diesel""]

[Verso 1]
Sour Diesel, unos toques
Recordando aquellos trotes
Cuando empeze trabajando en el desierto con paquetes que venían de la frontera
Inclicado, fuí avanzando, en Peñasco conectando
Al millón con la plebada
Compa' Curro ni se diga mis respetos pa' su raza
Bien rifado, trabajando, los vergazos los he aguantado
Varias cosas en mi vida son muy tristes
Pero por eso ahorita ando alivinado
Saludos pa' la familia, Roger Toro siempre al tanto
Phiniquiera transitando, buenos ratos por Peñasco
Por Hernán soy mencionado, para que sepan chavalos
Ya prendí otro de grifa, ya ahorita nos reportamos

[Interludio]
Y qué se prenda otro de Sour Diesel por la phiniquiera, viejo
Puro Five Music

[Verso 2]
Me avisaron de un comando
Chicoteado, me iban correteando
El desierto, la frontera, un boludo, varias trocas no cuajarón pa' atraparme
Los burlamos, casi a diario
Aquí en Phoenix, dónde navegamos
A balazos nos topamos
Varias broncas que he tenido solo por andar bateando
Exportando, mi trabajo
A otros lados llega empaquetado
La rama pa' los jamaicos, el dinero pa' gastarlo
Y asimismo generamos
Tío, sin la pieza clave pa' surtirles el ramado
En la rueda yo fui criado
Ahí sí mis primeros pasos
Mi cerebro actualizado
Fui creciendo como un árbol
Rifandome mi pellejo así es como lo he logradoYou might also likeEmbed"
Kong,2022-04-8,,"4 ContributorsKong Lyrics[Letra de ""Kong""]

[Intro]
Yo sé bien que me quieren matar, pero nunca los vamo' a dejar
Mi rifle no perdona, ahí está, enojado desde que no estás (Yah)

[Refrán]
Yo sé bien que me quieren matar, pero nunca los vamo' a dejar (Ay)
Mi rifle no perdona, ahí está, enojado desde que no estás
Yo sé bien que me quieren tumbar (Jajaja), pero nunca los voy a dejar (Nunca)
Mi rifle no perdona, ahí está (Cargado), más contento desde que no estás

[Verso]
Ya no es como antes al trabajar, me piden mi firma y ahora está
Mi nombre escrito en hoja ya no hay, problemas con gente que no está (No está)
Yo sé bien que me quieren matar pero nunca me voy a dejar
Verde y negra la puerta llegar y ahora solo tenemos que—
Corridos cantar (Ah), el mundo recorrer, la vida disfrutar (Jajaja)
Ya no me va mal, lo que he querido consigo sin pensarlo (Díselo Chapo)
Pregúntale al vato quién es el cabrón
Pregúntale al Daddy quién es el mamón (Jaja)
Pregunta primero qué es lo que paso (—so)
Seguridad solo son anillos que me cuidan, pa' caminar tranquilo y cuidan
Ahora se la envidian, saben que no tienen lo que a uno le brilla (No)
Ey, porque se me quedaron muy atrás
Cabrones, no me vengan a frontear, que pronto les va a llegar su final
Los vamo' a mandar a su funeral
Perdóname, Dios, por lo que soy (Lo que soy), pero nadie a mi me lo advirtió
Salimo' a la calle sin temor y ahora coronado me encontró
Agradecido contigo estoy, si te veo las gracias te doy
Aquí no existe ningún rencor, por eso me convertí en King Kong
Dime, mamichula, ¿qué es lo que tú y yo vamo' a hacer?
No' vamo' a perder, no' vamo' a comer
Toda la noche contigo vo'a querer (Ah, ah)
Yo me comprometo a tocarte, hasta que yo te haga mojarte
Sabes que nadie puede darte
Tengo varias morras que quieren casarse
You might also like[Coro]
Voy fumando mari, mari, en el Ferrari, daddy
Y por Miami o Cali, se ven las Cadi, Cadi
Voy fumando mari, mari, en el Ferrari, daddy
Y por Miami o Cali, se ven las Cadi, Cadi (Uh-uh)

[Refrán]
Yo sé bien que me quieren matar, pero nunca los vamo' a dejar
Mi rifle no perdona, ahí está, enojado desde que no estás
Yo sé bien que me quieren tumbar, pero nunca los voy a dejar
Mi rifle no perdona, ahí está, más contento desde que no estás

[Coro]
Voy fumando mari, mari, en el Ferrari, daddy
Y por Miami o Cali, se ven las Cadi, Cadi
Voy fumando mari, mari, en el Ferrari, daddy
Y por Miami o Cali, se ven las Cadi, CadiEmbed"
En El Cielo o En El Infierno,2021-05-28,,"4 ContributorsEn El Cielo o En El Infierno Lyrics[Letra de ""En El Cielo o En El Infierno""]

[Verso 1]
En el cielo, en el infierno a gusto me la llevo
Ando en el re fuego
Pesa la sangre que llevo
Mi hermano en el cielo, te recordaremos
Dos pistolas son de acero, me cuidan
Las llevo pa' donde me muevo
En la calle me navego
La H es el terreno donde me paseo

[Coro]
Disfruto la vida desde morro y asi me gustó
Dе vez en cuando me jalo al puеblo, ya saben quien soy
""Es un Camaro en putiza"", entre la gente se escuchó
Pero si les deja claro de lo que cuidamos
La familia es  primero, por eso estoy en el puesto
Mi padre es el jefe, tengo su apoyo, él me lo brindó
Para ser exacto, vengo siendo el hijo, siendo el hijo del señor

[Interludio]
Y con esta nos vamos hasta Sonora, viejones, ¡eah!

[Verso 2]
Una avioneta en el aire
Desiertos y mares, vuelo las ciudades
Prendo y se me van los males
Traigo dos comadres que les vale madre
También me gusta el desmadre
La fiesta jalarme, tengo buen aguante
En el cielo, en el infierno a gusto me la llevo
Ando en el re fuego
You might also like[Coro]
El trueno de un cuerno me acelera y siento la presión
Me gusta lo recio y eso siempre ha sido mi adicción
También una dama que me baile pa' mí es un gusto
Sin dejarles nombre, para qué quemar, así es mejor
Ando tranquilito por Sonora, ya traigo un clikón
Saludos pa'l compa el Pistol, que aquí estamos al millón
Para ser exacto, vengo siendo el hijo, siendo el hijo del señorEmbed"
Solamente Dios,2020-02-14,,"1 ContributorSolamente Dios Lyrics[Letra de ""Solamente Dios""]

[Coro]
Solamente Dios podrá juzgar
Lo que hace tiempo yo hice mal
Sencillo, el juego es mi virtud
No hables de más, ¿qué sabes tú?
También las tienes que pagar
Y un viaje menos, uno más
Lumbreo al cielo, ¿qué más da?
Siempre orgulloso y no va a parar

[Verso]
A mi madre santa siempre la recuerdo
Te llevo en el alma y si te sorprendo
Es por que ando recio, nada nos detiene
Y si ando fajado es por si se atreven

[Coro]
Solamente Dios podrá juzgar
Lo que hace tiempo yo hice mal
Sencillo el juego es mi virtud
No hables de más, ¿qué sabes tú?
También las tienes que pagar
Y un viaje menos, uno más
Lumbreo al cielo, ¿qué más da?
Siempre orgulloso y no va a pararYou might also likeEmbed"
Placoson,2023-05-25,,"4 ContributorsPlacoson Lyrics[Letra de ""Placoson""]

[Verso 1]
Está bueno el ambiente, a gusto con mi gente vamos a tomar
Ya jalamos un grupito y la banda en vivo vamos a escuchar

[Coro]
Zapatitos Louis Vuitton siempre trae el señorón
Dolce&Gabbana y Gucci siempre ando vestido yo
La cadena con diamantes, esa brilla en todas partes
Arriba del Mustangsón, bien placoso ando yo

[Interludio Instrumental]

[Verso 2]
Traigo estilo bien tumbado, me gusta lo bueno para disfrutar
Antros y restaurantes caros me han visto paseando a alta velocidad
En Tijuana me han mirado y si nos destrampamo' vamos pa' Culiacán

[Coro]
Zapatitos Louis Vuitton siempre trae el señorón
Dolce&Gabbana y Gucci siemprе ando vestido yo
La cadena con diamantes, еsa brilla en todas partes
Arriba del Mustangsón, bien placoso ando yo

[Outro]
Ah
Ey
Esa es, déjala
Ey, André
Compa Amilkar
Y arriba Tijuana, viejoYou might also likeEmbed"
Calle Pero Elegante,2020-05-29,,"4 ContributorsCalle Pero Elegante Lyrics[Letra de ""Calle Pero Elegante"" ft. Tyan G]

[Intro: Tyan G]
En la calle me comentan
Que te vieron conmigo
En las noches de vela
Cuando escapabas conmigo
Me manda un foto y empieza a llamarme
Quiere conmigo, baby, porque soy maleante (Hey, Sweetsound's hot)
Ella no sabe nada

[Coro: Tyan G & Natanael Cano]
De la calle pero elegante
Por eso se quiere ir conmigo, oh
Yo la llevé a un mundo aparte
Prende y se pierde conmigo, oh
De la calle pero elegante
Le gusta todo con diamante'
La niña no llora, ella chilla
Solita se trepa pa' encima
Loquita conmigo y la amiga
Entre tabacos y bebida
Las dos solitas se comían
Le gusta mi estilo de vida

[Verso: Natanael Cano & Tyan G]
Ah
Mirando las nubes y el cielo
Gritando en la distancia muero
Por hoy ya no quiero más sexo
Yo solo quiero brillar
Estamos de fiesta 24/7, la neta que esto nunca se va a acabar
Mira, mamá (Eh), no pasa na'
You might also like[Refrán: Tyan G & Natanael Cano]
Tu novio no te calienta y yo te prendí la vela
Ve la primera, tú solo, baby, quiere' bellaquera
Fuma, pasa y más na'
Aquí, baby, no pasa na'

[Puente: Tyan G & Natanael Cano]
Todo te luce, apaguemos las luces
Destapo Rosé, baby, ya me conoces
Nueva vida, nuevos carros, nuevo yo
La puta que yo tengo na' más ve Christian Dior
Nueva vida, nuevos carros, nuevo yo, oh-oh
Nueva vida, nuevos carros, nuevo yo, oh-oh

[Coro: Tyan G]
De la calle pero elegante
Por eso se quiere ir conmigo, oh
Yo la llevé a un mundo aparte
Prende y se pierde conmigo, oh

[Refrán: Tyan G & Natanael Cano]
Tu novio no te calienta y yo te prendí la vela
Ve la primera, tú solo, baby, quiere' bellaquera
Fuma, pasa y más na'
Aquí, baby, no pasa na'
[Outro: Tyan G]
En la calle me comentan
Que te vieron conmigo
En las noches de vela
Cuando escapabas conmigo
Me manda un foto y empieza a llamarme
Quiere conmigo, baby, porque soy maleante
Ella no sabe nadaEmbed"
Free Nata,2022-04-8,,"8 ContributorsFree Nata Lyrics[Letra de ""Free Nata""]

[Intro]
Krizous

[Coro]
Es cierto que a veces no puedo ni siquiera hablar
Pero me siento como si fuera un anime real
Sabiendo que tengo tanto money en la cuenta de bank
Ya no quiero ni dormir, nomás quiero generar
Ya no siento lo mismo que sentía yo al empezar
Sentimientos, el tiempo pasa lento, toca aguantar
Y esta canción la canto pa' que esperen mi regresar
Y sepan que lo que yo quería no era dinero y ya
Tengo ocho escoltas que me cuidan, son mi seguridad
Los vidrios duros, .40 para ir a trozar
Al que se meta conmigo, con lo que yo quiera más
Para eso no existen los sentimientos, menos piedad
Ya no siento lo mismo que sentía yo al empezar
Sentimientos, el tiempo pasa lento, toca aguantar
Y esta canción la canto pa' que esperen mi regresar
Y sepan que lo que yo quería no era dinero y ya

[Verso]
Y me los voy a llevar a donde están los verdaderos jefes
Me odian, lo verán
Cómo se van a calentar y ninguno vo'a dejar
Todos se van a aguantar cuando salgamos pa' cazar
Yo tengo el negocio firme, soy Fidel en la Havana
Traigo dos Rolex puestos y otros cuatro en la casa
Cuando traigo la Forty todos se alejan, normal
Me brillan los diamantes y me encanta que griten mi nombre, pero baby, eso es normal
A veces yo me pongo a pensar
De todo lo bueno, lo malo pero, ¿qué da?
Si se me han ido bastante, pero yo aquí he estado
Con la misma gente y con mi clica por un lado, hey
Con los mismos, los que yo ando
Yo no traigo a nadie nuevo, yo así soy, ah, así soy, ey, ey, ah
You might also like[Coro]
Es cierto que a veces no puedo ni siquiera hablar
Pero me siento como si fuera un anime real
Sabiendo que tengo tanto money en la cuenta de bank
Ya no quiero ni dormir, nomás quiero generar
Ya no siento lo mismo que sentía yo al empezar
Sentimientos, el tiempo pasa lento, toca aguantar
Y esta canción la canto pa' que esperen mi regresar
(Y sepan que lo que yo quería no era dinero y ya)
Y me los voy a llevar a donde están los verdaderos jefes
Me odian, lo verán
Cómo se van a calentar y ninguno vo'a dejar
Todos se van a aguantar cuando salgamos pa' cazar
Yo tengo el negocio firme, soy Fidel en la Havana
Traigo dos Rolex puestos y otros cuatro en la casa
Cuando traigo la Forty todos se alejan, normal
Me brillan los diamantes y me encanta que griten mi nombre
Pero baby, eso es normalEmbed"
Noches de Desvelo,2020-09-9,,"3 ContributorsNoches de Desvelo Lyrics[Letra de ""Noches de Desvelo""]

[Pre-Coro]
Noches de desvelo, la luna y el cielo
Me pongo contento si tú estás
Ropa cara, todo caro
Cadenas largas, relojes endiamantados
Una botella tuya, el mar y alcoholizados
Me pierdo contigo, pero si nos quitamos
Las ganas de comernos nos están matando
Y a mí las ganas de despertar a tu lado
Le gusta cómo me visto y cómo yo lo hago
Le gusta siempre escuchar corridos tumbados

[Coro]
Ay, cómo me duele
Saber que contigo el tiempo vuele
No poder tener cuando quiеre mi corazón
Ay, cómo me duelе
Saber que contigo el tiempo vuele
No poder tener cuando quiere mi corazón

[Pre-Coro]
Ropa cara, todo caro
Cadenas largas, relojes endiamantados
Una botella tuya, el mar y alcoholizados
Me pierdo contigo, pero si nos quitamos
Las ganas de comernos nos están matando
Y a mí las ganas de despertar a tu lado
Le gusta cómo me visto y cómo yo lo hago
Le gusta siempre escuchar corridos tumbados
You might also like[Coro]
Ay, cómo me duele
Saber que contigo el tiempo vuele
No poder tenerte cuando quiere mi corazón
Ay, cómo me duele
Saber que contigo el tiempo vuele
No poder tenerte cuando quiere mi corazónEmbed"
Bendito*,,,"4 ContributorsBendito* Lyrics[Letra de ""Bendito""]

[Adelanto]

[Coro]
Saben que siempre las puedo y les gusta el peligro
Y si se ocupara apoyo los plebes al tiro
El cuernito va a su lado y la glock en el cinto
Les gusta mucho ese polvo, lo apodo bendito
De allá arriba entre los cerros se ven campamentos
Dicen que son gente que andaba en el desierto
Tirando balas se la pasan, pues por supuestoYou might also likeEmbed"
Se Les Olvida,2021-05-28,,"4 ContributorsSe Les Olvida Lyrics[Letra de ""Se Les Olvida""]

[Verso 1]
Se les olvida para dónde van
Y no es mi culpa, me quieren tumbar
Ya no se acuerdan quién les ha enseñado a trabajar, ey
Los árboles no se escuchan van a alcanzar
Al cielo, sin ruido logran llegar
Tú hablando mierda no vas a lograr

[Coro]
Ey, de lado a lado al morrillo vieron llegar
Al que menos la gente se fue a imaginar
Los ojos rojos, bien tumbado, le vale verga
Dos líneas de jarabe en el vaso, ahí nomás
Los Bonnie's puestoas para poder patinar
Soy muy sencillo, me gusta la vida disfrutar
Y sе trata de chambear, soy el primеro en brincar

[Interludio Instrumental]

[Verso 2]
Una botella para celebrar
El trabajo que nos costó llegar
Mirando al cielo, agradeciendo que tocó brillar
Son varias cosas y yo no le he de bajar
Sigo chambeando, con la gente hay amistad
Lo que se formó en el círculo solo es familiar
You might also like[Coro]
Ey, de lado a lado al morrillo vieron llegar
Al que menos la gente se fue a imaginar
Los ojos rojos, bien tumbado, le vale verga
Y se trata de chambear, soy el primero en brincar

[Outro Instrumental]Embed"
Toronto,2022-04-8,,"9 ContributorsToronto Lyrics[Letra de ""Toronto""]

[Intro]
Nata

[Coro]
Pensando si esta es mi última esperanza
Y ahora tengo una casa y hago lo que me plazca
No me mande amenazas
Con diecisiete la rompimos, pues, ¿qué pasa?
No les gusta si avanzas, el camino que trazas
Yo hago lo que quiero y ahora yo voy primero
Me vale verga de más
Ey, y ahora yo no quiero, se aguantan por culeros
Con nadie yo voy a grabar

[Verso 1]
Tengo todo lo que quiero
Con códigos yo me muevo
Digital es el dinero (Yah), ey
A veces el diablo marca
Pero yo cuelgo y le digo
Que llame a Rene primero (Ah)

[Refrán]
Arriba de un deportivo-ivo, ey
Emprendo mi recorrido
Mi nombre es muy conocido-ido, ey
He tenido lo que yo he querido
You might also like[Puente]
Uh-uh-uh-uh
Emprendo mi recorrido
Uh-uh-uh-uh, ah-ah-ah (Yah, yah, yah, yah)

[Verso 2]
Dolce, Prada, se ven caras
Ahora carga una dama que—
Importa nada de lo que hablan
Ella sabe que no soy cualquier—

[Refrán]
Arriba de un deportivo-ivo (Vivo, vivo)
Emprendo mi recorrido
Mi nombre es muy conocido-ido, ey
He tenido lo que yo he querido (Ah-ah-ah)

[Coro]
Pensando solo en mi última esperanza
Y ahora tengo una casa y hago lo que me plazca
Con diecisiete rompimos, ¿qué pasa?
No les gusta si avanzas, el camino que trazas
Yo hago lo que quiero y ahora yo voy primero
Me vale verga de más
Ey, y ahora yo no quiero, se aguantan por culeros
Con nadie yo voy a grabar, eh1Embed"
El Chamaquito,2019-10-31,,"4 ContributorsEl Chamaquito Lyrics[Letra de ""El Chamaquito""]

El chamaquito se enseñó a caminar
Se topó con piedra y las pudo quitar
Hay mucha gente que lo difama
Solo toma importancia loco a de tirar

Sigue su vida no piensa en frenar
Se fuma un gallardo pa el estrés
Sacar se pasa a la 12 se pone a flotar
Se pone bien seco y a de carcajear

Mirada perdida por la loquera
Ojos dilatados llenos de ojeras
Es un desmadre el chico problemas
Se la vive y en rezo de todo que no

Marihuana desayuna y cena
No importa comida en la alacena
Mientras tenga algo pa la tatema
No se preocupa de ningún tema

Eah! puros corridos tumbados Compa Adán! igual Compa Nata!

La vecina por ahí me informo
Que el cinto solo lo trae de adorno
Que viste tumbado aguado el pantalón
Y si anda pinocho se pone fieron
You might also likeFinta placosa cara de guason
Le dejan las rubias andar de cabron
El fin de semana se va de fieston
Odia la mula andar con maricon

Pleitos, problemas de todo pasó
El viejo lobo se pinta solo
Techos y bardas brinco y se voló
En la escuela del barrio aprendió y se graduó

En el cuadro algunos años marcó
Una calaca el vato se aventó
Si alguien que se las debía se metió
Con quien no debía y bien caro la pagoEmbed"
Soy,2020-09-9,,"2 ContributorsSoy Lyrics[Letra de ""Soy""]

[Intro]
Que me perdonen to' lo malo
Las personas que he dañado
Ando viviendo bien recio y no me doy cuenta ni de quién soy

[Verso]
Que me perdonen to' lo malo
Las personas que he dañado
Ando viviendo bien recio y no me doy cuenta de lo que soy
Tengo un ángel a mi lado
Quiere hablarme el mismo diablo
Pero a nadie le contesto el phone, por eso es que lеs duele ver
Cómo vеngo arremangando
De sus puestos voy tumbando
Yo no lo pienso dejar de hacer porque a esto ya me acostumbré
Perdona, Dios, porque he pecado
La fama no me ha asustado
Caminamos entre malos pasos pero no voy a caer

[Coro]
No, no se me agüite, ya saben quién soy
El mismo morro que hizo un equipón
Hicimos feria y me compré un cantón
Y piensan que es muy fácil llegar a donde yo estoy
You might also like[Interludio Instrumental]

[Coro]
No, no se me agüite, ya saben quién soy
El mismo morro que hizo un equipón
Hicimos feria y me compré un cantón
Y piensan que es muy fácil llegar a donde yo estoyEmbed"
Todo Se Dió,2021-05-28,,"4 ContributorsTodo Se Dió Lyrics[Letra de ""Todo Se Dió""]

[Verso 1]
Y me la paso todo el tiempo con un gallo
Me gusta andar recordando cuando no había que gastar
Y yo quería billetes y ni existía
El tener lo que quería, y por eso lo fui a lograr

[Coro]
Y en un círculo pequeño, donde estoy
Pa'l mi gente yo senté al millón
Los dolaritos contando yo voy
Gracias a Dios que todo se dio
Tranquilito y por los míos doy
La vida y pa' lo que ocupen, aquí estoy, -o-o-o-oy

[Interludio]
Y porque andamos bien recios, viejones, ¡eah!

[Verso 2]
De arriba a abajo la llevamos bien calmados
La vuelta la coronamos, hoy tenemos un lugar
El polvo blanco me altera cuando mе bajo
El humo dejo volando, de esto no puеde faltar

[Coro]
Y en un círculo pequeño, donde soy
Pa'l mi gente yo senté al millón
Los dolaritos contando yo voy
Gracias a Dios que todo se dio
Tranquilito y por los míos doy
La vida y pa' lo que ocupen, aquí estoy, -o-o-o-oy
You might also like[Outro Instrumental]Embed"
Cuento,2022-04-8,,"4 ContributorsCuento Lyrics[Letra de ""Cuento""]

[Verso]
Traigo una pelota del cuadro, y esta no viene del Carlos
Pero bien loco me trae
Cuánto tiempo ya ha pasado, y siento que ando atravesado
Disculpen si hablo de más

[Coro]
Cuento lo que traigo adentro, muy adentro de mí siento
Que otro mejor no hallarás
Llévate lo que tú quieras, pero no hay manera de que te pueda olvidar

[Pos-Coro]
Si tus ojos no me quieren dar razón
Entonces solo respóndeme el phone
Entiendo, te fuiste a buscar amor
Quiero decirte que aquí no hay traición
Pendejo yo fui al pensar que a mí no
Me iba a pasar lo mismo que a otros
No te juzgo, baby, así era yo
Resultaste ser peor que el Diablo

[Interludio]
Baby
Estúpida
Corridos tumbados, ¡ea!
You might also like[Coro]
Cuento lo que traigo adentro, muy adentro de mí siento
Que otro mejor no hallarás
Llévate lo que tú quieras, pero no hay manera de que te pueda olvidar

[Pos-Coro]
Si tus ojos no me quieren dar razón
Entonces solo respóndeme el phone
Entiendo, te fuiste a buscar amor
Quiero decirte que aquí no hay traición
Pendejo yo fui al pensar que a mí no
Me iba a pasar lo mismo que a otros
No te juzgo, baby, así era yo
Resultaste ser peor que el DiabloEmbed"
Música pal Barrio,2019-10-31,,"4 ContributorsMúsica pal Barrio Lyrics[Letra de ""Música Pal Barrio""]

[Verso 1]
Y qué nos tiran de raperos
Por qué traigo siempre
El estilo bien tumbado
Y es el que define al cuadro
Que me cargo puro morro
Con los sueños
Que yo tuve de chavalo

[Coro]
Por qué tantas envidias
De la gente que ha volteado
No se, por qué les duele lo logrado
Si la mata aquí seguirá dando
Porque tú se la has comprado
Y ni cuenta tu te diste puto morro
Se ve que eres caga palo
Por mí sigan criticando
Yo aquí sigo metiendo merca
Y no de la que, te pone bien tumbado
Solo música pal barrio (ea!)

[Verso 2]
Tal vez envidien los billetes
Que aquí generamos
O que péguense un pinche tiro
Con la clicka que ha cuidado nuestro bando
Para que se de cuenta
Del jalecito
Que andamos traficando
You might also like[Coro]
Por qué tantas envidias
De la gente que ha volteado
No se, por qué les duele lo logrado
Si la mata aquí seguirá dando
Porque tú se la has comprado
Y ni cuenta tu te diste puto morro
Se ve que eres caga palo

[Outro]
Me despido mucho gusto
No quieran pasarse la raya
Que aquí si les pegaran un buen susto
Para que se pongan buzosEmbed"
Tay,2022-04-8,,"3 ContributorsTay Lyrics[Letra de ""Tay""]

[Intro]
Na—, Na—, Nata
Ah, ah, ah (Tay)

[Coro]
Gucci, Valentino o Balenciaga
A la baby le gusta la ropa cara
Los diamantes y quilates van con las pantallas
Ey, esta movie no se ensaya
Gucci, Valentino o Balenciaga
A la baby le gusta la ropa cara
Los diamantes y quilates van con las pantallas
Ey, esta movie no se ensaya

[Verso 1]
Al OnlyFans subió una foto (Eh)
La movie es de ella, yo solo otro, ey (Ey)
Con ella la cama la rompo (Ah)
Me dice ""tap"", yo no la toco

[Puente]
Me quiere dejar, me quiero morir, me quiero matar, ey
Me quiere dejar, me quiero morir, me quiеro matar, ah
Me quiere dеjar, me quiero morir, me quiero matar
Me quiere dejar, me quiero morir, me quiero matar, ey (Prr, prr, ah)
You might also like[Verso 2]
Me dice quién soy (Yeah), le digo que soy el mejor (Ey)
Le meto tan duro que en lo que dormía compuse entera la canción (Prr, prr)
Toco la guitarra y le escribo cancione' a las diablas que son como tú, tú
Que vienen, te dejan sin luz, luz
Lo bueno no soy como tú, tú (Tay)

[Verso 3]
Me visto elegante
En la mano un millón, cadenas con diamantes
Ya no es como antes
Porte exuberante, brillo en todas partes
Ahora con maleantes
Navegando el terre, crecimos y aguanten
Un Plus 7 para desplazarse
.4-5 para dispararse

[Puente]
Bien loco, bien loco, bien loco, bien loco, bien loco, bien atravesa'o
Bien loco, bien loco, bien loco, bien loco, bien loco, bien atravesa'o
Bien loco, bien psycho, me tiene miedo, dice que ya ando bien mal
Bien loco, bien psycho, me tiene miedo, dice que ya ando bien mal

[Coro]
Gucci, Valentino o Balenciaga
A la baby le gusta la ropa cara
Los diamantes y quilates van con las pantallas
Esta movie no se ensaya (Ah)
Gucci, Valentino o Balenciaga (Yeah, yeah, yeah)
A la baby le gusta la ropa cara (Uh, Versace)
Los diamantes y quilates van con las pantallas (Nah)
Esta movie no se ensaya (Ah)
[Outro]
Ah, y puros corridos tumbados
Y trap tumbado, ja
Ah, prrEmbed"
